codigo,tipo,nombre,direccion,comuna_codigo,comuna,region_codigo,region,servicio_salud,dependencia
110390,CESFAM,Centro de Salud Familiar Dr. Alberto Allende Jones,Calle Esmeralda 2049,13601,Talagante,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110623,COSAM,COSAM Talagante,Calle Esmeralda 2049,13601,Talagante,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
114406,PSR,Posta de Salud Rural San Vicente,Calle San Vicente,13202,Pirque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113728,CECOSF,Centro Comunitario de Salud Familiar Lo Herrera,Calle Volcán Guallatiri 8282,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
110381,CESFAM,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Calle Artesana Julita Vera 354,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
113713,CECOSF,Centro Comunitario de Salud Familiar Ribera del Maipo,Calle Parcela San Adolfo BC-1. Cancha San Adolfo,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
106337,CESFAM,Centro de Salud Familiar Fernando Rodriguez Vicuña,Calle Las Hortensias 146,05606,Santo Domingo,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
200200,COSAM,COSAM San José de Maipo,Calle 1 Sur con calle del Cerro,13203,San José de Maipo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Servicio de Salud
106400,CESFAM,Centro de Salud Familiar Juan Fernández,Calle Vicente González 225,05104,Juan Fernández,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
113413,PSR,Posta de Salud Rural Santa Inés,Calle Camino Santa Inés,13403,Calera de Tango,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
113321,CESFAM,Centro de Salud Familiar Calera de Tango,Calle Lonquén Sur,13403,Calera de Tango,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114310,CESFAM,Centro de Salud Familiar Dr. José Manuel Balmaceda,Avenida Virginia Subercaseaux 385,13202,Pirque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
106419,PSR,Posta de Salud Rural San Juan de San Antonio,Calle Sector San Juan de San Antonio,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
106422,CECOSF,Centro Comunitario de Salud Familiar Lo Gallardo,Avenida San Juan 2698,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
114321,CESFAM,Centro de Salud Familiar Cardenal Silva Henríquez,Calle San Pedro 3345,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114326,CESFAM,Centro de Salud Familiar Karol Wojtyla,Calle Curaco de Vélez 4110,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113334,CESFAM,Centro de Salud Familiar Los Bajos de San Agustín,Avenida Calera de Tango,13403,Calera de Tango,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114312,CESFAM,Centro de Salud Familiar San Gerónimo,Calle San Pedro 1203,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114401,PSR,Posta de Salud Rural Puntilla,Calle Ramón Subercaseaux,13202,Pirque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
106729,CECOSF,Centro Comunitario de Salud Familiar Tejas Verdes,Calle Los Claveles 347,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
114613,COSAM,COSAM CEIF Centro,Calle Tocornal 70,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114323,CESFAM,Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS,Avenida Circunvalación 1815,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Delegado
113328,CESFAM,Centro de Salud Familiar Padre Joan Alsina,Calle Márquez de la Plata 5,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114611,COSAM,COSAM Puente Alto,Calle Tocornal 152,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
106420,PSR,Posta de Salud Rural Leyda,Calle Aldea Leyda,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
114313,CESFAM,Centro de Salud Familiar Vista Hermosa,Calle Los Pinos 275,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
110369,CESFAM,Centro de Salud Familiar Dr. Fernando Monckeberg,Calle La Concepción 73,13605,Peñaflor,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
106329,CESFAM,Centro de Salud Familiar Néstor Fernández Thomas,Calle José Miguel Carrera 1015,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
110308,CESFAM,Centro de Salud Familiar Peñaflor,Calle Costa Rica 1000,13605,Peñaflor,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
114301,CESFAM,Centro de Salud Familiar Dr. Alejandro del Río,Calle Gandarillas 105,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
110624,COSAM,COSAM Peñaflor,Avenida Miraflores 160,13605,Peñaflor,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
200377,CECOSF,Centro Comunitario de Salud Familiar Las Hortensias,Avenida Carlos Condell 1789,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
106319,CESFAM,Centro de Salud Familiar Barrancas,Calle Barros Luco 2370,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
113330,CESFAM,Centro de Salud Familiar Raúl Brañes F.,Avenida Carlos Condell 1036,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
113313,CESFAM,Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo),Calle San Alfonso 1202,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
106333,CESFAM,Centro de Salud Familiar 30 de Marzo,Calle Brockman 1700,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
